"Reserveringstypecode","Reserveringstype","Tijd vanaf","Tijd t/m","Vanaf datum","Aantal","Locatiecode"
"-C","Afhangen","20:30:00","21:15:00","2020-05-13","2","BAAN5"
"-C","Afhangen","13:00:00","14:00:00","2020-05-13","3","BAAN2"
"LS","Tennisles","16:30:00","19:00:00","2020-05-13","1","BAAN6"
"-C","Afhangen","11:30:00","12:15:00","2020-05-13","2","BAAN3"
"-C","Afhangen","15:00:00","15:45:00","2020-05-13","2","BAAN2"
"LS","Tennisles","16:30:00","19:00:00","2020-05-13","1","BAAN5"
"-C","Afhangen","10:00:00","10:45:00","2020-05-13","2","BAAN2"
"LS","Tennisles","16:30:00","22:00:00","2020-05-13","1","BAAN9"
"-C","Afhangen","19:30:00","20:15:00","2020-05-13","2","BAAN1"
"-C","Afhangen","14:30:00","15:15:00","2020-05-13","2","BAAN1"
"-C","Afhangen","17:15:00","18:00:00","2020-05-13","2","BAAN4"
"-C","Afhangen","12:00:00","12:45:00","2020-05-13","2","BAAN2"
"LS","Tennisles","16:30:00","22:00:00","2020-05-13","1","BAAN8"
"-C","Afhangen","13:30:00","14:15:00","2020-05-13","2","BAAN4"
"-C","Afhangen","20:30:00","21:15:00","2020-05-12","2","BAAN4"
"-C","Afhangen","20:00:00","20:45:00","2020-05-12","2","BAAN6"
"-C","Afhangen","12:45:00","13:30:00","2020-05-12","2","BAAN4"
"LS","Tennisles","15:00:00","22:00:00","2020-05-12","1","BAAN1"
"-C","Afhangen","19:30:00","20:15:00","2020-05-12","2","BAAN4"
"-C","Afhangen","16:30:00","17:15:00","2020-05-12","2","BAAN4"
"-C","Afhangen","11:30:00","12:15:00","2020-05-12","2","BAAN1"
"LS","Tennisles","09:00:00","14:00:00","2020-05-12","1","BAAN8"
"-C","Afhangen","10:00:00","10:45:00","2020-05-12","2","BAAN1"
"LS","Tennisles","09:00:00","14:00:00","2020-05-12","1","BAAN7"
"-C","Afhangen","09:00:00","09:45:00","2020-05-12","2","BAAN4"
"-C","Afhangen","12:00:00","12:45:00","2020-05-12","2","BAAN6"
"-C","Afhangen","20:00:00","20:45:00","2020-05-12","2","BAAN8"
"-C","Afhangen","15:00:00","15:45:00","2020-05-12","2","BAAN6"
"-C","Afhangen","10:45:00","11:30:00","2020-05-12","2","BAAN1"
"-C","Afhangen","14:00:00","14:45:00","2020-05-12","2","BAAN4"
"-C","Afhangen","10:00:00","10:45:00","2020-05-12","2","BAAN3"
"-C","Afhangen","16:30:00","17:15:00","2020-05-12","2","BAAN8"
"-C","Afhangen","21:00:00","21:45:00","2020-05-12","2","BAAN5"
"-C","Afhangen","16:30:00","17:15:00","2020-05-12","2","BAAN5"
"-C","Afhangen","22:00:00","22:45:00","2020-05-12","2","BAAN1"
"LS","Tennisles","15:00:00","22:00:00","2020-05-12","1","BAAN2"
"-C","Afhangen","17:15:00","18:00:00","2020-05-12","2","BAAN9"
"-C","Afhangen","17:15:00","18:00:00","2020-05-12","2","BAAN6"
"-C","Afhangen","19:00:00","19:45:00","2020-05-12","2","BAAN7"
"-C","Afhangen","16:00:00","16:45:00","2020-05-12","2","BAAN7"
"-C","Afhangen","20:15:00","21:00:00","2020-05-12","2","BAAN9"
"-C","Afhangen","08:45:00","09:30:00","2020-05-11","2","BAAN6"
"-C","Afhangen","09:00:00","09:45:00","2020-05-11","2","BAAN4"
"-C","Afhangen","11:00:00","11:45:00","2020-05-11","2","BAAN5"
"-C","Afhangen","11:00:00","11:45:00","2020-05-11","2","BAAN3"
"LS","Tennisles","14:30:00","16:00:00","2020-05-11","1","BAAN7"
"-C","Afhangen","13:00:00","13:45:00","2020-05-11","2","BAAN1"
"-C","Afhangen","20:45:00","21:30:00","2020-05-11","2","BAAN4"
"-C","Afhangen","10:15:00","11:00:00","2020-05-11","2","BAAN9"
"-C","Afhangen","20:00:00","20:45:00","2020-05-11","2","BAAN1"
"-C","Afhangen","20:45:00","21:30:00","2020-05-11","2","BAAN1"
"-C","Afhangen","16:15:00","17:00:00","2020-05-11","2","BAAN1"
"-C","Afhangen","16:30:00","17:15:00","2020-05-11","2","BAAN6"
"LS","Tennisles","09:00:00","12:00:00","2020-05-11","1","BAAN7"
"-C","Afhangen","08:00:00","08:45:00","2020-05-11","2","BAAN1"
"-C","Afhangen","09:30:00","10:15:00","2020-05-11","2","BAAN6"
"-C","Afhangen","16:00:00","16:45:00","2020-05-11","2","BAAN4"
"-C","Afhangen","14:00:00","14:45:00","2020-05-11","2","BAAN3"
"-C","Afhangen","14:00:00","14:45:00","2020-05-11","2","BAAN1"
"-C","Afhangen","10:00:00","10:45:00","2020-05-11","2","BAAN1"
"-C","Afhangen","20:00:00","20:45:00","2020-05-11","2","BAAN4"
"-C","Afhangen","19:30:00","20:00:00","2020-05-11","2","BAAN1"
"LS","Tennisles","14:30:00","16:00:00","2020-05-11","1","BAAN9"
"-C","Afhangen","11:00:00","11:45:00","2020-05-11","2","BAAN4"
"-C","Afhangen","16:15:00","17:00:00","2020-05-11","2","BAAN2"
"-C","Afhangen","17:00:00","17:45:00","2020-05-11","2","BAAN1"
"-C","Afhangen","10:15:00","11:00:00","2020-05-11","2","BAAN4"
"-C","Afhangen","10:00:00","10:45:00","2020-05-11","2","BAAN2"
"-C","Afhangen","08:00:00","08:45:00","2020-05-11","2","BAAN5"
"-C","Afhangen","17:45:00","18:30:00","2020-05-11","2","BAAN1"
"-C","Afhangen","20:45:00","21:30:00","2020-05-11","2","BAAN6"
"LS","Tennisles","14:30:00","16:00:00","2020-05-11","1","BAAN8"
"-C","Afhangen","17:00:00","17:45:00","2020-05-11","2","BAAN2"
"-C","Afhangen","22:00:00","22:45:00","2020-05-11","2","BAAN1"
"-C","Afhangen","15:30:00","16:15:00","2020-05-11","2","BAAN1"
"-C","Afhangen","16:30:00","17:15:00","2020-05-11","2","BAAN5"
